t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
35,Caphorn,2,sheath,StemElement,0.013203829,0.005902924
35,Caphorn,3,blade,LeafElement1,0.13692715,0.080712959
35,Caphorn,3,sheath,StemElement,0.045417915,0.01376764
35,Caphorn,4,blade,LeafElement1,0.179156079,0.208250174
35,Caphorn,4,internode,StemElement,0.034308216,0.018920701
35,Caphorn,4,sheath,StemElement,0.054424092,0.044137882
35,Caphorn,5,internode,StemElement,0.055961673,0.062759876
35,Caphorn,6,internode,StemElement,0.115859912,0.181507719
36,Caphorn,1,blade,LeafElement1,0.033214761,0.022642131
36,Caphorn,1,sheath,StemElement,0,0.008910641
36,Caphorn,2,blade,LeafElement1,0.037158615,0.035708622
36,Caphorn,2,sheath,StemElement,0,0.005902924
36,Caphorn,3,blade,LeafElement1,0.077670498,0.080712959
36,Caphorn,3,sheath,StemElement,0.007639718,0.01376764
36,Caphorn,4,blade,LeafElement1,0.174363652,0.208250174
36,Caphorn,4,internode,StemElement,0.004766325,0.018920701
36,Caphorn,4,sheath,StemElement,0.016614291,0.044137882
36,Caphorn,5,internode,StemElement,0.02382927,0.062759876
36,Caphorn,6,internode,StemElement,0.099474236,0.181507719
37,Caphorn,1,blade,LeafElement1,0.040738826,0.022642131
37,Caphorn,1,sheath,StemElement,0.007413943,0.008910641
37,Caphorn,2,blade,LeafElement1,0.091511322,0.035708622
37,Caphorn,2,sheath,StemElement,0.008157651,0.005902924
37,Caphorn,3,blade,LeafElement1,0.111885467,0.080712959
37,Caphorn,3,sheath,StemElement,0.037526077,0.01376764
37,Caphorn,4,blade,LeafElement1,0.18995722,0.208250174
37,Caphorn,4,internode,StemElement,0.053251057,0.018920701
37,Caphorn,4,sheath,StemElement,0.06961832,0.044137882
37,Caphorn,5,internode,StemElement,0.046956038,0.062759876
37,Caphorn,6,internode,StemElement,0.107454036,0.181507719
38,Caphorn,1,blade,LeafElement1,0.020419975,0.022642131
38,Caphorn,1,sheath,StemElement,0.01029963,0.008910641
38,Caphorn,2,blade,LeafElement1,0.061474414,0.035708622
38,Caphorn,2,sheath,StemElement,0.012092057,0.005902924
38,Caphorn,3,blade,LeafElement1,0.094094216,0.080712959
38,Caphorn,3,sheath,StemElement,0.021917126,0.01376764
38,Caphorn,4,blade,LeafElement1,0.214233475,0.208250174
38,Caphorn,4,internode,StemElement,0.026227745,0.018920701
38,Caphorn,4,sheath,StemElement,0.073770303,0.044137882
38,Caphorn,5,internode,StemElement,0.086112162,0.062759876
38,Caphorn,6,internode,StemElement,0.14645455,0.181507719
39,Caphorn,1,blade,LeafElement1,0.006189082,0.022642131
39,Caphorn,1,sheath,StemElement,0.007967645,0.008910641
39,Caphorn,2,blade,LeafElement1,0.017566401,0.035708622
39,Caphorn,2,sheath,StemElement,0.001598405,0.005902924
39,Caphorn,3,blade,LeafElement1,0.073837261,0.080712959
39,Caphorn,3,sheath,StemElement,0.009092419,0.01376764
39,Caphorn,4,blade,LeafElement1,0.24783976,0.208250174
39,Caphorn,4,internode,StemElement,0.020888935,0.018920701
39,Caphorn,4,sheath,StemElement,0.038835004,0.044137882
39,Caphorn,5,internode,StemElement,0.106588266,0.062759876
39,Caphorn,6,internode,StemElement,0.202162166,0.181507719
40,Caphorn,1,blade,LeafElement1,0.003555226,0.022642131
40,Caphorn,1,sheath,StemElement,0.002379191,0.008910641
40,Caphorn,2,blade,LeafElement1,0.005859784,0.035708622
40,Caphorn,2,sheath,StemElement,0.005787576,0.005902924
40,Caphorn,3,blade,LeafElement1,0.052022178,0.080712959
40,Caphorn,3,sheath,StemElement,0.002164625,0.01376764
40,Caphorn,4,blade,LeafElement1,0.231412229,0.208250174
40,Caphorn,4,internode,StemElement,0.010573488,0.018920701
40,Caphorn,4,sheath,StemElement,0.04105422,0.044137882
40,Caphorn,5,internode,StemElement,0.069464287,0.062759876
40,Caphorn,6,internode,StemElement,0.256316756,0.181507719
41,Caphorn,1,blade,LeafElement1,0.000356561,0.022642131
41,Caphorn,1,sheath,StemElement,0,0.008910641
41,Caphorn,2,blade,LeafElement1,0.001037868,0.035708622
41,Caphorn,2,sheath,StemElement,0,0.005902924
41,Caphorn,3,blade,LeafElement1,0.022121131,0.080712959
41,Caphorn,3,sheath,StemElement,0.001600836,0.01376764
