t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
40,Soissons,2,blade,LeafElement1,0.00045336,0.001402713
40,Soissons,2,sheath,StemElement,0,0
40,Soissons,3,blade,LeafElement1,0.002188334,0.0120609
40,Soissons,3,sheath,StemElement,0.000276009,0.000170922
40,Soissons,4,blade,LeafElement1,0.089533114,0.138217677
40,Soissons,4,internode,StemElement,0.000712119,0.000438254
40,Soissons,4,sheath,StemElement,0.003365047,0.004984751
40,Soissons,5,internode,StemElement,0.039038955,0.047219619
40,Soissons,6,internode,StemElement,0.185613729,0.131138906
41,Soissons,1,blade,LeafElement1,0,0.000273246
41,Soissons,1,sheath,StemElement,0,5.53E-05
41,Soissons,2,blade,LeafElement1,0,0.001402713
41,Soissons,2,sheath,StemElement,0,0
41,Soissons,3,blade,LeafElement1,0.004402173,0.0120609
41,Soissons,3,sheath,StemElement,0,0.000170922
41,Soissons,4,blade,LeafElement1,0.052709953,0.138217677
41,Soissons,4,internode,StemElement,0,0.000438254
41,Soissons,4,sheath,StemElement,0.007171608,0.004984751
41,Soissons,5,internode,StemElement,0.038819522,0.047219619
41,Soissons,6,internode,StemElement,0.217209658,0.131138906
42,Soissons,1,blade,LeafElement1,0,0.000273246
42,Soissons,1,sheath,StemElement,0,5.53E-05
42,Soissons,2,blade,LeafElement1,0,0.001402713
42,Soissons,2,sheath,StemElement,0,0
42,Soissons,3,blade,LeafElement1,0,0.0120609
42,Soissons,3,sheath,StemElement,0,0.000170922
42,Soissons,4,blade,LeafElement1,0.052012258,0.138217677
42,Soissons,4,internode,StemElement,0,0.000438254
42,Soissons,4,sheath,StemElement,0,0.004984751
42,Soissons,5,internode,StemElement,0,0.047219619
42,Soissons,6,internode,StemElement,0.231415271,0.131138906
43,Soissons,1,blade,LeafElement1,0,0.000273246
43,Soissons,1,sheath,StemElement,0,5.53E-05
43,Soissons,2,blade,LeafElement1,0,0.001402713
43,Soissons,2,sheath,StemElement,0,0
43,Soissons,3,blade,LeafElement1,0,0.0120609
43,Soissons,3,sheath,StemElement,0,0.000170922
43,Soissons,4,blade,LeafElement1,0.026259838,0.138217677
43,Soissons,4,internode,StemElement,0,0.000438254
43,Soissons,4,sheath,StemElement,0,0.004984751
43,Soissons,5,internode,StemElement,0,0.047219619
43,Soissons,6,internode,StemElement,0.253825304,0.131138906
44,Soissons,1,blade,LeafElement1,0,0
44,Soissons,1,sheath,StemElement,0,0
44,Soissons,2,blade,LeafElement1,0,0
44,Soissons,2,sheath,StemElement,0,0
44,Soissons,3,blade,LeafElement1,0,0
44,Soissons,3,sheath,StemElement,0,0
44,Soissons,4,blade,LeafElement1,0,0
44,Soissons,4,internode,StemElement,0,0
44,Soissons,4,sheath,StemElement,0,0
44,Soissons,5,internode,StemElement,0,0
44,Soissons,6,internode,StemElement,0,0
45,Soissons,1,blade,LeafElement1,0,0
45,Soissons,1,sheath,StemElement,0,0
45,Soissons,2,blade,LeafElement1,0,0
45,Soissons,2,sheath,StemElement,0,0
45,Soissons,3,blade,LeafElement1,0,0
45,Soissons,3,sheath,StemElement,0,0
45,Soissons,4,blade,LeafElement1,0,0
45,Soissons,4,internode,StemElement,0,0
45,Soissons,4,sheath,StemElement,0,0
45,Soissons,5,internode,StemElement,0,0
45,Soissons,6,internode,StemElement,0,0
46,Soissons,1,blade,LeafElement1,0,0
46,Soissons,1,sheath,StemElement,0,0
46,Soissons,2,blade,LeafElement1,0,0
46,Soissons,2,sheath,StemElement,0,0
46,Soissons,3,blade,LeafElement1,0,0
46,Soissons,3,sheath,StemElement,0,0
46,Soissons,4,blade,LeafElement1,0,0
46,Soissons,4,internode,StemElement,0,0
46,Soissons,4,sheath,StemElement,0,0
46,Soissons,5,internode,StemElement,0,0
46,Soissons,6,internode,StemElement,0,0
47,Soissons,1,blade,LeafElement1,0,0
47,Soissons,1,sheath,StemElement,0,0
47,Soissons,2,blade,LeafElement1,0,0
47,Soissons,2,sheath,StemElement,0,0
47,Soissons,3,blade,LeafElement1,0,0
47,Soissons,3,sheath,StemElement,0,0
47,Soissons,4,blade,LeafElement1,0,0
47,Soissons,4,internode,StemElement,0,0
47,Soissons,4,sheath,StemElement,0,0
47,Soissons,5,internode,StemElement,0,0
47,Soissons,6,internode,StemElement,0,0
48,Soissons,1,blade,LeafElement1,0,0
48,Soissons,1,sheath,StemElement,0,0
48,Soissons,2,blade,LeafElement1,0,0
48,Soissons,2,sheath,StemElement,0,0
48,Soissons,3,blade,LeafElement1,0,0
48,Soissons,3,sheath,StemElement,0,0
