t,plant,axis,Conc_Nitrates_Soil,Tsoil,nitrates,volume
1044,1,MS,0.24508755939840474,15.0,0.24508755939840474,1.0
1045,1,MS,0.24359873323580275,15.0,0.24359873323580275,1.0
1046,1,MS,0.24234682176994657,15.0,0.24234682176994657,1.0
1047,1,MS,0.2409542755126664,15.0,0.2409542755126664,1.0
1048,1,MS,0.23979100957728805,15.0,0.23979100957728805,1.0
1049,1,MS,0.2384841923468222,15.0,0.2384841923468222,1.0
1050,1,MS,0.23740014548801802,15.0,0.23740014548801802,1.0
1051,1,MS,0.23617087831821088,15.0,0.23617087831821088,1.0
1052,1,MS,0.2351598659373665,15.0,0.2351598659373665,1.0
1053,1,MS,0.23400398496079863,15.0,0.23400398496079863,1.0
1054,1,MS,0.23306401734741297,15.0,0.23306401734741297,1.0
1055,1,MS,0.23198113096268283,15.0,0.23198113096268283,1.0
1056,1,MS,0.23111309094274088,15.0,0.23111309094274088,1.0
1057,1,MS,0.23010466067388335,15.0,0.23010466067388335,1.0
1058,1,MS,0.22931051724248894,15.0,0.22931051724248894,1.0
1059,1,MS,0.22837862136955553,15.0,0.22837862136955553,1.0
1060,1,MS,0.2276606686593444,15.0,0.2276606686593444,1.0
1061,1,MS,0.2268075001579213,15.0,0.2268075001579213,1.0
1062,1,MS,0.22616795354938574,15.0,0.22616795354938574,1.0
1063,1,MS,0.22539528381373922,15.0,0.22539528381373922,1.0
1064,1,MS,0.22483522663778438,15.0,0.22483522663778438,1.0
1065,1,MS,0.22414267488974332,15.0,0.22414267488974332,1.0
1066,1,MS,0.22366010643967016,15.0,0.22366010643967016,1.0
1067,1,MS,0.22304372010704585,15.0,0.22304372010704585,1.0
1068,1,MS,0.2226332141274058,15.0,0.2226332141274058,1.0
