t,plant,axis,Total_transpiration
396,1,MS,0.045377020602690436
397,1,MS,0.045377020602690436
398,1,MS,0.04608291022820715
399,1,MS,0.04608291022820715
400,1,MS,0.03672013505584693
401,1,MS,0.03672013505584693
402,1,MS,0.021819131049847423
403,1,MS,0.021819131049847423
404,1,MS,0.014510565805223502
405,1,MS,0.014510565805223502
406,1,MS,0.010244901237788512
407,1,MS,0.010244901237788512
408,1,MS,0.0051834376700563844
409,1,MS,0.0051834376700563844
410,1,MS,0.005478175774456007
411,1,MS,0.005478175774456007
412,1,MS,0.007165302494580721
413,1,MS,0.007165302494580721
414,1,MS,0.01863629644299612
415,1,MS,0.01863629644299612
416,1,MS,0.0314357469919918
417,1,MS,0.0314357469919918
418,1,MS,0.04368347841720293
419,1,MS,0.04368347841720293
420,1,MS,0.048652917579698716
421,1,MS,0.048652917579698716
422,1,MS,0.0422631986398309
423,1,MS,0.0422631986398309
424,1,MS,0.015525368662385564
425,1,MS,0.015525368662385564
426,1,MS,0.005716398376751731
427,1,MS,0.005716398376751731
428,1,MS,0.004434046953817901
429,1,MS,0.004434046953817901
430,1,MS,0.004318056539896843
431,1,MS,0.004318056539896843
432,1,MS,0.002411998071476749
433,1,MS,0.002411998071476749
434,1,MS,0.0012117409334322594
435,1,MS,0.0012117409334322594
436,1,MS,0.0009248397470395056
437,1,MS,0.0009248397470395056
438,1,MS,0.011970542933247931
439,1,MS,0.011970542933247931
440,1,MS,0.021730990386592677
441,1,MS,0.021730990386592677
442,1,MS,0.028238722698686033
443,1,MS,0.028238722698686033
444,1,MS,0.032816669816276484
445,1,MS,0.032816669816276484
446,1,MS,0.031104831925620614
447,1,MS,0.031104831925620614
448,1,MS,0.02641795059309303
449,1,MS,0.02641795059309303
450,1,MS,0.014724601980622556
451,1,MS,0.014724601980622556
452,1,MS,0.005279596108815266
453,1,MS,0.005279596108815266
454,1,MS,0.002496977994225976
455,1,MS,0.002496977994225976
456,1,MS,0.005060352939348034
457,1,MS,0.005060352939348034
458,1,MS,0.004669893668000028
459,1,MS,0.004669893668000028
460,1,MS,0.0034704519940531925
461,1,MS,0.0034704519940531925
462,1,MS,0.006243578909275213
463,1,MS,0.006243578909275213
464,1,MS,0.010959625847468731
465,1,MS,0.010959625847468731
466,1,MS,0.011246265635070456
467,1,MS,0.011246265635070456
468,1,MS,0.02202148832932991
469,1,MS,0.02202148832932991
470,1,MS,0.017198690865066583
471,1,MS,0.017198690865066583
472,1,MS,0.010239657927709905
473,1,MS,0.010239657927709905
474,1,MS,0.007987530729824409
475,1,MS,0.007987530729824409
476,1,MS,0.005306398962818631
477,1,MS,0.005306398962818631
478,1,MS,0.004829487678497368
479,1,MS,0.004829487678497368
480,1,MS,0.0017143230619359293
481,1,MS,0.0017143230619359293
482,1,MS,0.0006680559753197034
483,1,MS,0.0006680559753197034
484,1,MS,0.0007855062843043932
485,1,MS,0.0007855062843043932
486,1,MS,0.006533068568258636
487,1,MS,0.006533068568258636
488,1,MS,0.016907691831487673
489,1,MS,0.016907691831487673
490,1,MS,0.029180202079374995
491,1,MS,0.029180202079374995
492,1,MS,0.023895357428357997
493,1,MS,0.023895357428357997
494,1,MS,0.03738157098845145
495,1,MS,0.03738157098845145
496,1,MS,0.020163615475648926
497,1,MS,0.020163615475648926
498,1,MS,0.008393327204054165
499,1,MS,0.008393327204054165
500,1,MS,0.0020477604989580667
501,1,MS,0.0020477604989580667
502,1,MS,0.001837646446017306
503,1,MS,0.001837646446017306
504,1,MS,0.0016140846300700274
505,1,MS,0.0016140846300700274
506,1,MS,0.0013547861007639807
507,1,MS,0.0013547861007639807
508,1,MS,0.0012798886366096201
509,1,MS,0.0012798886366096201
510,1,MS,0.0023487703958230913
511,1,MS,0.0023487703958230913
512,1,MS,0.006598815595420484
513,1,MS,0.006598815595420484
514,1,MS,0.007268237832139828
515,1,MS,0.007268237832139828
516,1,MS,0.007438049076353177
517,1,MS,0.007438049076353177
518,1,MS,0.006354527585988849
519,1,MS,0.006354527585988849
520,1,MS,0.008098820397130887
521,1,MS,0.008098820397130887
522,1,MS,0.0032782091589674037
523,1,MS,0.0032782091589674037
524,1,MS,0.002543968523453571
525,1,MS,0.002543968523453571
526,1,MS,0.00210561537110201
527,1,MS,0.00210561537110201
528,1,MS,0.005221253460219455
529,1,MS,0.005221253460219455
530,1,MS,0.002298623136656298
531,1,MS,0.002298623136656298
532,1,MS,0.0020406374304240645
533,1,MS,0.0020406374304240645
534,1,MS,0.013707676892334089
535,1,MS,0.013707676892334089
536,1,MS,0.026811995986956386
537,1,MS,0.026811995986956386
538,1,MS,0.036749925083892285
539,1,MS,0.036749925083892285
540,1,MS,0.04406389601032887
541,1,MS,0.04406389601032887
542,1,MS,0.029431036187809845
543,1,MS,0.029431036187809845
544,1,MS,0.028079095576578728
545,1,MS,0.028079095576578728
546,1,MS,0.01790247095792221
547,1,MS,0.01790247095792221
548,1,MS,0.014267939968383152
549,1,MS,0.014267939968383152
550,1,MS,0.006948497711243343
551,1,MS,0.006948497711243343
552,1,MS,0.0032731136816881584
553,1,MS,0.0032731136816881584
554,1,MS,0.0020621218557026182
555,1,MS,0.0020621218557026182
556,1,MS,0.0032043961416903326
557,1,MS,0.0032043961416903326
558,1,MS,0.014421295291964358
559,1,MS,0.014421295291964358
560,1,MS,0.02351569870043862
561,1,MS,0.02351569870043862
562,1,MS,0.028865863141041503
563,1,MS,0.028865863141041503
564,1,MS,0.03506431799334833
565,1,MS,0.03506431799334833
566,1,MS,0.02780869906822175
567,1,MS,0.02780869906822175
568,1,MS,0.022858245501486296
569,1,MS,0.022858245501486296
570,1,MS,0.013718860983550128
571,1,MS,0.013718860983550128
572,1,MS,0.00503463045253844
573,1,MS,0.00503463045253844
574,1,MS,0.0052811294967865675
575,1,MS,0.0052811294967865675
576,1,MS,0.0029896571823839844
577,1,MS,0.0029896571823839844
578,1,MS,0.0015755640604413123
579,1,MS,0.0015755640604413123
580,1,MS,0.0015277259193146517
581,1,MS,0.0015277259193146517
582,1,MS,0.011397001122975668
583,1,MS,0.011397001122975668
584,1,MS,0.02192072358100665
585,1,MS,0.02192072358100665
586,1,MS,0.029948667722837403
587,1,MS,0.029948667722837403
588,1,MS,0.030735212900146032
589,1,MS,0.030735212900146032
590,1,MS,0.0344516516772278
591,1,MS,0.0344516516772278
592,1,MS,0.02316269181641153
593,1,MS,0.02316269181641153
594,1,MS,0.014094394986388653
595,1,MS,0.014094394986388653
596,1,MS,0.006264826646647966
597,1,MS,0.006264826646647966
598,1,MS,0.00503713730963904
599,1,MS,0.00503713730963904
600,1,MS,0.0008449943339498192
601,1,MS,0.0008449943339498192
602,1,MS,0.00043986889936156514
603,1,MS,0.00043986889936156514
604,1,MS,0.0008357579351518543
605,1,MS,0.0008357579351518543
606,1,MS,0.00761719701101995
607,1,MS,0.00761719701101995
608,1,MS,0.019656419245801582
609,1,MS,0.019656419245801582
610,1,MS,0.0271753726577006
611,1,MS,0.0271753726577006
612,1,MS,0.03086776884775411
613,1,MS,0.03086776884775411
614,1,MS,0.029994324265796575
615,1,MS,0.029994324265796575
616,1,MS,0.024352048912460584
617,1,MS,0.024352048912460584
618,1,MS,0.01165115825280007
619,1,MS,0.01165115825280007
620,1,MS,0.0036745415761136315
621,1,MS,0.0036745415761136315
622,1,MS,0.0019610506700220654
623,1,MS,0.0019610506700220654
624,1,MS,0.0012480280063714572
625,1,MS,0.0012480280063714572
626,1,MS,0.0007142320283662387
627,1,MS,0.0007142320283662387
628,1,MS,0.0008083140242146383
629,1,MS,0.0008083140242146383
630,1,MS,0.00649793244128563
631,1,MS,0.00649793244128563
632,1,MS,0.01586308002501239
633,1,MS,0.01586308002501239
634,1,MS,0.017797260206602748
635,1,MS,0.017797260206602748
636,1,MS,0.020734036769711764
637,1,MS,0.020734036769711764
638,1,MS,0.009865067408448216
639,1,MS,0.009865067408448216
640,1,MS,0.011816087753826837
641,1,MS,0.011816087753826837
642,1,MS,0.009391800645028363
643,1,MS,0.009391800645028363
644,1,MS,0.004586414305266319
645,1,MS,0.004586414305266319
646,1,MS,0.003635235144213033
647,1,MS,0.003635235144213033
648,1,MS,0.004980741469471984
649,1,MS,0.004980741469471984
650,1,MS,0.0019141484958591546
651,1,MS,0.0019141484958591546
652,1,MS,0.0024742706178538664
653,1,MS,0.0024742706178538664
654,1,MS,0.013305378793827382
655,1,MS,0.013305378793827382
656,1,MS,0.02429790594820976
657,1,MS,0.02429790594820976
658,1,MS,0.017973775440192675
659,1,MS,0.017973775440192675
660,1,MS,0.011975935136554601
661,1,MS,0.011975935136554601
662,1,MS,0.019954468420982002
663,1,MS,0.019954468420982002
664,1,MS,0.012316497546804805
