t,hour,air_temperature,PARi_original,soil_temperature,DOY,humidity,ambient_CO2,Wind,PARi
311,11,6.386088751,257.9972716,4.89623549,360,0.75,360,2.2,128.9986358
312,12,6.733877374,304.877579,5.043958889,360,0.75,360,2.2,152.4387895
313,13,7.111602135,316.3031549,5.393097665,360,0.75,360,2.2,158.1515774
314,14,7.218570561,260.5579338,5.63690559,360,0.75,360,2.2,130.2789669
315,15,7.066695894,161.9456452,5.800628309,360,0.75,360,2.2,80.97282259
316,16,6.595205356,46.82597975,5.804202613,360,0.75,360,2.2,23.41298987
317,17,6.175533197,0,5.631824919,360,0.75,360,2.2,0
318,18,5.901179122,0,5.468445306,360,0.75,360,2.2,0
319,19,5.767349878,2.847147328,5.377231121,360,0.75,360,2.2,1.423573664
320,20,5.676624414,0.02158671,5.26049329,360,0.75,360,2.2,0.010793355
321,21,5.68760646,0,5.181965759,360,0.75,360,2.2,0
322,22,5.576024228,0,5.12735714,360,0.75,360,2.2,0
323,23,5.517824748,0,5.101691852,360,0.75,360,2.2,0
324,24,5.485528632,0,5.098289353,360,0.75,360,2.2,0
325,1,5.331883315,0,5.07828877,361,0.75,360,2.2,0
326,2,5.266691664,0,5.064725105,361,0.75,360,2.2,0
327,3,5.186270102,0,5.02372567,361,0.75,360,2.2,0
328,4,5.172650792,0,5.016647429,361,0.75,360,2.2,0
329,5,5.078008732,1.102363062,5.021524002,361,0.75,360,2.2,0.551181531
330,6,4.98109089,3.881307512,5.044179117,361,0.75,360,2.2,1.940653756
331,7,4.914654505,1.119660599,5.004977805,361,0.75,360,2.2,0.5598303
332,8,4.748749387,0,4.888621158,361,0.75,360,2.2,0
333,9,5.074835365,65.56647439,4.701867992,361,0.75,360,2.2,32.78323719
334,10,5.708614119,169.6031777,4.652750532,361,0.75,360,2.2,84.80158885
335,11,6.353885919,258.0052893,4.808084167,361,0.75,360,2.2,129.0026447
336,12,6.702978052,303.7035187,4.946871669,361,0.75,360,2.2,151.8517594
337,13,7.083575789,317.8046602,5.304707221,361,0.75,360,2.2,158.9023301
338,14,7.19248116,262.764143,5.556537573,361,0.75,360,2.2,131.3820715
339,15,7.040846577,163.8210511,5.726446034,361,0.75,360,2.2,81.91052554
340,16,6.563473674,47.8038274,5.74842148,361,0.75,360,2.2,23.9019137
341,17,6.128493729,0,5.581222258,361,0.75,360,2.2,0
342,18,5.860349262,0,5.426570191,361,0.75,360,2.2,0
343,19,5.733679083,3.465363581,5.354809606,361,0.75,360,2.2,1.73268179
344,20,5.639127464,0.085973569,5.248677326,361,0.75,360,2.2,0.042986785
345,21,5.65453453,0,5.171643535,361,0.75,360,2.2,0
346,22,5.538448883,0,5.117574033,361,0.75,360,2.2,0
347,23,5.485418755,0,5.094410767,361,0.75,360,2.2,0
348,24,5.455383192,0,5.092551584,361,0.75,360,2.2,0
349,1,5.311908246,0,5.074925188,1,0.75,360,2.2,0
350,2,5.242203185,0,5.061830326,1,0.75,360,2.2,0
351,3,5.164375549,0,5.017983999,1,0.75,360,2.2,0
352,4,5.147670323,0,5.009996028,1,0.75,360,2.2,0
353,5,5.057200621,1.404804692,5.015030185,1,0.75,360,2.2,0.702402346
354,6,4.965283677,4.408518304,5.040942966,1,0.75,360,2.2,2.204259152
355,7,4.888400044,0.2267416,4.986975707,1,0.75,360,2.2,0.1133708
356,8,4.714283762,0,4.846179072,1,0.75,360,2.2,0
357,9,5.044464555,64.76022762,4.630363449,1,0.75,360,2.2,32.38011381
358,10,5.679124759,168.74717,4.568221219,1,0.75,360,2.2,84.37358501
359,11,6.323194413,258.2569782,4.726242833,1,0.75,360,2.2,129.1284891
360,12,6.674086075,302.8927754,4.857849007,1,0.75,360,2.2,151.4463877
361,13,7.057337427,319.5468816,5.224226877,1,0.75,360,2.2,159.7734408
362,14,7.168168723,265.1134582,5.483775365,1,0.75,360,2.2,132.5567291
363,15,7.016694884,165.8412916,5.65951456,1,0.75,360,2.2,82.92064582
364,16,6.534045859,48.93737625,5.698353043,1,0.75,360,2.2,24.46868812
365,17,6.08463253,0,5.535507143,1,0.75,360,2.2,0
366,18,5.821638522,0,5.38821046,1,0.75,360,2.2,0
367,19,5.701171004,4.017732807,5.333781996,1,0.75,360,2.2,2.008866404
368,20,5.602962525,0.14679931,5.237552577,1,0.75,360,2.2,0.073399655
369,21,5.622199586,0,5.161694729,1,0.75,360,2.2,0
370,22,5.501810693,0,5.107892054,1,0.75,360,2.2,0
371,23,5.453333973,0,5.086833413,1,0.75,360,2.2,0
372,24,5.425029196,0,5.086162053,1,0.75,360,2.2,0
373,1,5.290904284,0,5.070431974,2,0.75,360,2.2,0
374,2,5.216815721,0,5.057537705,2,0.75,360,2.2,0
375,3,5.141295707,0,5.011066915,2,0.75,360,2.2,0
376,4,5.121554154,0,5.002169739,2,0.75,360,2.2,0
377,5,5.035016737,1.678149087,5.007168263,2,0.75,360,2.2,0.839074543
378,6,4.947589899,4.858123432,5.035789901,2,0.75,360,2.2,2.429061716
379,7,4.861126326,0,4.967919393,2,0.75,360,2.2,0
