t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
16,Caphorn,3,sheath,StemElement,0.000992457829341,0.00334651540142,1
16,Caphorn,4,blade,LeafElement1,0.168304327386,0.159513131783,1
16,Caphorn,4,internode,StemElement,0.00310934248743,0.00730758965327,1
16,Caphorn,4,sheath,StemElement,0.0107185583977,0.0228702487216,1
16,Caphorn,5,internode,StemElement,0.0390923975836,0.0419655558359,1
16,Caphorn,6,internode,StemElement,0.218847078053,0.148079574974,1
16,Soissons,1,blade,LeafElement1,0.00048119021483,0.0056470716946,2
16,Soissons,1,sheath,StemElement,0.000322020023442,0.00230377230893,2
16,Soissons,2,blade,LeafElement1,0.00152437364904,0.013359511581,2
16,Soissons,2,sheath,StemElement,5.9532951063e-05,0.000915442306594,2
16,Soissons,3,blade,LeafElement1,0.0115187959103,0.0482446301527,2
16,Soissons,3,sheath,StemElement,0.000659086835872,0.00338148835396,2
16,Soissons,4,blade,LeafElement1,0.107683296602,0.172600403573,2
16,Soissons,4,internode,StemElement,0.00372929141284,0.00781848581809,2
16,Soissons,4,sheath,StemElement,0.0116856502062,0.0212451039087,2
16,Soissons,5,internode,StemElement,0.0427684166933,0.0482788840211,2
16,Soissons,6,internode,StemElement,0.226536855334,0.152942753909,2
17,Caphorn,1,blade,LeafElement1,3.5185627055e-05,0.00564705202661,1
17,Caphorn,1,sheath,StemElement,0.0,0.00233834778202,1
17,Caphorn,2,blade,LeafElement1,0.000204652251065,0.0103513240554,1
17,Caphorn,2,sheath,StemElement,1.65374586233e-05,0.0010574272002,1
17,Caphorn,3,blade,LeafElement1,0.00431370133528,0.0357538379789,1
17,Caphorn,3,sheath,StemElement,0.00014240727572,0.00334651540142,1
17,Caphorn,4,blade,LeafElement1,0.144811765616,0.159513131783,1
17,Caphorn,4,internode,StemElement,0.000410870506406,0.00730758965327,1
17,Caphorn,4,sheath,StemElement,0.00472582479046,0.0228702487216,1
17,Caphorn,5,internode,StemElement,0.0208898417847,0.0419655558359,1
17,Caphorn,6,internode,StemElement,0.25747636879,0.148079574974,1
17,Soissons,1,blade,LeafElement1,1.97673247376e-05,0.0056470716946,2
17,Soissons,1,sheath,StemElement,0.0,0.00230377230893,2
17,Soissons,2,blade,LeafElement1,0.000326502893905,0.013359511581,2
17,Soissons,2,sheath,StemElement,4.63025722045e-05,0.000915442306594,2
17,Soissons,3,blade,LeafElement1,0.00310605701584,0.0482446301527,2
17,Soissons,3,sheath,StemElement,5.9615893855e-05,0.00338148835396,2
17,Soissons,4,blade,LeafElement1,0.0788960193943,0.172600403573,2
17,Soissons,4,internode,StemElement,0.000778966184315,0.00781848581809,2
17,Soissons,4,sheath,StemElement,0.00289348567055,0.0212451039087,2
17,Soissons,5,internode,StemElement,0.0217000297696,0.0482788840211,2
17,Soissons,6,internode,StemElement,0.26531870113,0.152942753909,2
18,Caphorn,1,blade,LeafElement1,0.0,0.00564705202661,1
18,Caphorn,1,sheath,StemElement,0.0,0.00233834778202,1
18,Caphorn,2,blade,LeafElement1,0.0,0.0103513240554,1
18,Caphorn,2,sheath,StemElement,0.0,0.0010574272002,1
18,Caphorn,3,blade,LeafElement1,0.000300898115928,0.0357538379789,1
18,Caphorn,3,sheath,StemElement,0.0,0.00334651540142,1
18,Caphorn,4,blade,LeafElement1,0.112463788281,0.159513131783,1
18,Caphorn,4,internode,StemElement,0.0,0.00730758965327,1
18,Caphorn,4,sheath,StemElement,0.000145550718955,0.0228702487216,1
18,Caphorn,5,internode,StemElement,0.00206883084397,0.0419655558359,1
18,Caphorn,6,internode,StemElement,0.292741006312,0.148079574974,1
18,Soissons,1,blade,LeafElement1,0.0,0.0056470716946,2
