t,species,metamer,organ,Eabs,plant
33,Soissons,3,sheath,0.0397833622868,1
33,Soissons,4,blade,0.380978639961,1
33,Soissons,4,internode,0.0541564898356,1
33,Soissons,4,sheath,0.0871593113713,1
33,Soissons,5,internode,0.138847983154,1
33,Soissons,6,internode,0.271952097354,1
34,Soissons,1,blade,0.0629251644581,1
34,Soissons,1,sheath,0.028582723888,1
34,Soissons,2,blade,0.103737207289,1
34,Soissons,2,sheath,0.0253798955928,1
34,Soissons,3,blade,0.190626282745,1
34,Soissons,3,sheath,0.0397833622868,1
34,Soissons,4,blade,0.380978639961,1
34,Soissons,4,internode,0.0541564898356,1
34,Soissons,4,sheath,0.0871593113713,1
34,Soissons,5,internode,0.138847983154,1
34,Soissons,6,internode,0.271952097354,1
35,Soissons,1,blade,0.0629251644581,1
35,Soissons,1,sheath,0.028582723888,1
35,Soissons,2,blade,0.103737207289,1
35,Soissons,2,sheath,0.0253798955928,1
35,Soissons,3,blade,0.190626282745,1
35,Soissons,3,sheath,0.0397833622868,1
35,Soissons,4,blade,0.380978639961,1
35,Soissons,4,internode,0.0541564898356,1
35,Soissons,4,sheath,0.0871593113713,1
35,Soissons,5,internode,0.138847983154,1
35,Soissons,6,internode,0.271952097354,1
36,Soissons,1,blade,0.0629251644581,1
36,Soissons,1,sheath,0.028582723888,1
36,Soissons,2,blade,0.103737207289,1
36,Soissons,2,sheath,0.0253798955928,1
36,Soissons,3,blade,0.190626282745,1
36,Soissons,3,sheath,0.0397833622868,1
36,Soissons,4,blade,0.380978639961,1
36,Soissons,4,internode,0.0541564898356,1
36,Soissons,4,sheath,0.0871593113713,1
36,Soissons,5,internode,0.138847983154,1
36,Soissons,6,internode,0.271952097354,1
37,Soissons,1,blade,0.0629251644581,1
37,Soissons,1,sheath,0.028582723888,1
37,Soissons,2,blade,0.103737207289,1
37,Soissons,2,sheath,0.0253798955928,1
37,Soissons,3,blade,0.190626282745,1
37,Soissons,3,sheath,0.0397833622868,1
37,Soissons,4,blade,0.380978639961,1
37,Soissons,4,internode,0.0541564898356,1
37,Soissons,4,sheath,0.0871593113713,1
37,Soissons,5,internode,0.138847983154,1
37,Soissons,6,internode,0.271952097354,1
38,Soissons,1,blade,0.0629251644581,1
38,Soissons,1,sheath,0.028582723888,1
38,Soissons,2,blade,0.103737207289,1
38,Soissons,2,sheath,0.0253798955928,1
38,Soissons,3,blade,0.190626282745,1
38,Soissons,3,sheath,0.0397833622868,1
38,Soissons,4,blade,0.380978639961,1
38,Soissons,4,internode,0.0541564898356,1
38,Soissons,4,sheath,0.0871593113713,1
38,Soissons,5,internode,0.138847983154,1
38,Soissons,6,internode,0.271952097354,1
39,Soissons,1,blade,0.0629251644581,1
39,Soissons,1,sheath,0.028582723888,1
39,Soissons,2,blade,0.103737207289,1
39,Soissons,2,sheath,0.0253798955928,1
39,Soissons,3,blade,0.190626282745,1
39,Soissons,3,sheath,0.0397833622868,1
39,Soissons,4,blade,0.380978639961,1
39,Soissons,4,internode,0.0541564898356,1
39,Soissons,4,sheath,0.0871593113713,1
39,Soissons,5,internode,0.138847983154,1
39,Soissons,6,internode,0.271952097354,1
40,Soissons,1,blade,0.0629251644581,1
40,Soissons,1,sheath,0.028582723888,1
40,Soissons,2,blade,0.103737207289,1
40,Soissons,2,sheath,0.0253798955928,1
40,Soissons,3,blade,0.190626282745,1
40,Soissons,3,sheath,0.0397833622868,1
40,Soissons,4,blade,0.380978639961,1
40,Soissons,4,internode,0.0541564898356,1
40,Soissons,4,sheath,0.0871593113713,1
40,Soissons,5,internode,0.138847983154,1
40,Soissons,6,internode,0.271952097354,1
41,Soissons,1,blade,0.0629251644581,1
41,Soissons,1,sheath,0.028582723888,1
41,Soissons,2,blade,0.103737207289,1
41,Soissons,2,sheath,0.0253798955928,1
41,Soissons,3,blade,0.190626282745,1
41,Soissons,3,sheath,0.0397833622868,1
41,Soissons,4,blade,0.380978639961,1
41,Soissons,4,internode,0.0541564898356,1
41,Soissons,4,sheath,0.0871593113713,1
41,Soissons,5,internode,0.138847983154,1
41,Soissons,6,internode,0.271952097354,1
42,Soissons,1,blade,0.0629251644581,1
42,Soissons,1,sheath,0.028582723888,1
42,Soissons,2,blade,0.103737207289,1
42,Soissons,2,sheath,0.0253798955928,1
42,Soissons,3,blade,0.190626282745,1
42,Soissons,3,sheath,0.0397833622868,1
42,Soissons,4,blade,0.380978639961,1
42,Soissons,4,internode,0.0541564898356,1
42,Soissons,4,sheath,0.0871593113713,1
42,Soissons,5,internode,0.138847983154,1
42,Soissons,6,internode,0.271952097354,1
43,Soissons,1,blade,0.0629251644581,1
43,Soissons,1,sheath,0.028582723888,1
43,Soissons,2,blade,0.103737207289,1
43,Soissons,2,sheath,0.0253798955928,1
43,Soissons,3,blade,0.190626282745,1
43,Soissons,3,sheath,0.0397833622868,1
43,Soissons,4,blade,0.380978639961,1
43,Soissons,4,internode,0.0541564898356,1
43,Soissons,4,sheath,0.0871593113713,1
43,Soissons,5,internode,0.138847983154,1
43,Soissons,6,internode,0.271952097354,1
44,Soissons,1,blade,0.0,1
44,Soissons,1,sheath,0.0,1
44,Soissons,2,blade,0.0,1
44,Soissons,2,sheath,0.0,1
44,Soissons,3,blade,0.0,1
44,Soissons,3,sheath,0.0,1
44,Soissons,4,blade,0.0,1
44,Soissons,4,internode,0.0,1
44,Soissons,4,sheath,0.0,1
44,Soissons,5,internode,0.0,1
44,Soissons,6,internode,0.0,1
45,Soissons,1,blade,0.0,1
45,Soissons,1,sheath,0.0,1
45,Soissons,2,blade,0.0,1
45,Soissons,2,sheath,0.0,1
45,Soissons,3,blade,0.0,1
45,Soissons,3,sheath,0.0,1
45,Soissons,4,blade,0.0,1
45,Soissons,4,internode,0.0,1
45,Soissons,4,sheath,0.0,1
45,Soissons,5,internode,0.0,1
45,Soissons,6,internode,0.0,1
46,Soissons,1,blade,0.0,1
46,Soissons,1,sheath,0.0,1
46,Soissons,2,blade,0.0,1
46,Soissons,2,sheath,0.0,1
46,Soissons,3,blade,0.0,1
46,Soissons,3,sheath,0.0,1
46,Soissons,4,blade,0.0,1
46,Soissons,4,internode,0.0,1
46,Soissons,4,sheath,0.0,1
46,Soissons,5,internode,0.0,1
46,Soissons,6,internode,0.0,1
47,Soissons,1,blade,0.0,1
47,Soissons,1,sheath,0.0,1
47,Soissons,2,blade,0.0,1
47,Soissons,2,sheath,0.0,1
