ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
207,1,10,-4.0313538,-3.593768846,0.000592768,NA,NA,0.025,NA,NA
227,1,10,-3.9205196,-3.482934647,0.001422644,NA,NA,0.06,NA,NA
237,1,10,-3.801478954,-3.363894,0.001161826,NA,NA,0.049,NA,NA
247,1,10,-3.664799163,-3.227214209,0.001066983,NA,NA,0.045,NA,NA
257,1,10,-3.63367126,-3.196086306,0.001043272,NA,NA,0.044,NA,NA
267,1,10,-3.607825668,-3.170240714,0.006046236,NA,NA,0.255,NA,NA
277,1,10,-3.42266181,-2.985076856,0.001398933,NA,NA,0.059,NA,NA
286,1,10,-3.091102482,-2.653517528,0.000901008,NA,NA,0.038,NA,NA
297,1,10,-3.016961477,-2.579376524,0.001683462,NA,NA,0.071,NA,NA
307,1,10,-2.938764412,-2.501179459,0.002347362,NA,NA,0.099,NA,NA
317,1,10,-2.767372293,-2.329787339,0.002537048,NA,NA,0.107,NA,NA
327,1,10,-2.603714986,-2.166130032,0.003817427,NA,NA,0.161,NA,NA
337,1,10,-2.476467892,-2.038882939,0.00324837,NA,NA,0.137,NA,NA
346,1,10,-2.34639099,-1.908806036,0.004623592,NA,NA,0.195,NA,NA
357,1,10,-2.226784381,-1.789199428,0.004173088,NA,NA,0.176,NA,NA
366,1,10,-2.072371118,-1.634786165,0.004315353,NA,NA,0.182,NA,NA
376,1,10,-1.766280074,-1.328695121,0.007966805,NA,NA,0.336,NA,NA
385,1,10,-1.593190069,-1.155605116,0.022525193,NA,NA,0.95,NA,NA
396,1,10,-1.439059787,-1.001474834,0.028452875,NA,NA,1.2,NA,NA
406,1,10,-1.210033884,-0.772448931,0.023710729,NA,NA,1,NA,NA
418,1,10,-1.064958992,-0.627374038,0.023710729,0.002371073,NA,1,0.1,NA
425,1,10,-0.87866321,-0.441078257,0.042679312,0.002371073,NA,1.8,0.1,NA
435,1,10,-0.653033079,-0.215448125,0.139893302,0.007113219,0.004901961,5.9,0.3,0.05
445,1,10,-0.432024969,0.005559985,0.199170124,0.008298755,NA,8.4,0.35,NA
456,1,10,-0.038304162,0.399280791,0.348547718,0.021339656,0.004901961,14.7,0.9,0.05
465,1,10,0.598780248,1.036365202,0.52163604,0.05690575,0.049019608,22,2.4,0.5
474,1,10,0.856764533,1.294349487,0.848844102,0.194427979,0.068627451,35.8,8.2,0.7
485,1,10,1.089280534,1.526865488,0.808535862,0.20391227,0.088235294,34.1,8.6,0.9
494,1,10,1.30198787,1.739572823,0.924718435,0.343805572,0.147058824,39,14.5,1.5
504,1,10,1.456967095,1.894552048,0.988737404,0.360403082,0.352941176,41.7,15.2,3.6
515,1,10,1.527900982,1.965485936,1.012448133,0.379371666,0.245098039,42.7,16,2.5
524,1,10,1.777112859,2.214697812,0.991108477,0.377000593,0.519607843,41.8,15.9,5.3
532,1,10,1.992932985,2.430517938,1.029045643,0.386484884,0.715686275,43.4,16.3,7.3
544,1,10,2.209979361,2.647564315,0.995850622,0.379371666,0.764705882,42,16,7.8
553,1,10,2.511165402,2.948750356,1.005334914,0.37462952,0.882352941,42.4,15.8,9
564,1,10,2.774149017,3.211733971,1.005334914,0.384113811,1.039215686,42.4,16.2,10.6
573,1,10,3.03251061,3.470095564,0.96976882,0.367516301,0.931372549,40.9,15.5,9.5
