t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
306,360,6,8.5,0,5.4285,0.75,360,4.3
307,360,7,8.7,0,5.641,0.75,360,4.3
308,360,8,9.3,0,5.804,0.73,360,4.3
309,360,9,9.3,33.66666667,5.967,0.74,360,4.3
310,360,10,9.6,89.77777778,6.176,0.74,360,4.3
311,360,11,9.5,134.6666667,6.4075,0.76,360,4.3
312,360,12,9.6,123.4444444,6.671,0.78,360,4.3
313,360,13,9.8,145.8888889,6.8835,0.77,360,4.3
314,360,14,9.8,134.6666667,7.05,0.76,360,4.3
315,360,15,9.7,78.55555556,7.13,0.75,360,4.3
316,360,16,9.7,11.22222222,7.09,0.76,360,4.3
317,360,17,9.6,0,7.025,0.77,360,4.3
318,360,18,9.3,0,6.957,0.8,360,4.3
319,360,19,9.5,0,6.896,0.8,360,4.3
320,360,20,9.1,0,6.8285,0.81,360,4.3
321,360,21,8.7,0,6.805,0.85,360,4.3
322,360,22,8.6,0,6.7765,0.88,360,4.3
323,360,23,8.6,0,6.833,0.92,360,4.3
324,360,24,8.5,0,6.949,0.94,360,5.3
325,361,1,8.4,0,7.075,0.94,360,5.3
326,361,2,8.3,0,7.15,0.95,360,5.3
327,361,3,8.3,0,7.19,0.95,360,5.3
328,361,4,8,0,7.22,0.94,360,5.3
329,361,5,8.2,0,7.235,0.94,360,5.3
330,361,6,8.1,0,7.23,0.94,360,5.3
331,361,7,7.8,0,7.195,0.94,360,5.3
332,361,8,7.6,0,7.17,0.94,360,5.3
333,361,9,7.9,22.44444444,7.13,0.93,360,5.3
334,361,10,8.2,89.77777778,7.145,0.91,360,5.3
335,361,11,8.8,190.7777778,7.24,0.87,360,5.3
336,361,12,8.8,224.4444444,7.495,0.85,360,5.3
337,361,13,9.2,168.3333333,7.705,0.84,360,5.3
338,361,14,9.9,280.5555556,7.835,0.8,360,5.3
339,361,15,9.9,179.5555556,8.02,0.79,360,5.3
340,361,16,10.1,101,8.01,0.73,360,5.3
341,361,17,10.3,0,7.765,0.74,360,5.3
342,361,18,9.9,0,7.51,0.74,360,5.3
343,361,19,10,0,7.35,0.72,360,5.3
344,361,20,9.7,0,7.27,0.72,360,5.3
345,361,21,9.7,0,7.125,0.71,360,5.3
346,361,22,9.7,0,6.923,0.7,360,5.3
347,361,23,9.3,0,6.8595,0.71,360,5.3
348,361,24,9.4,0,6.8585,0.74,360,3.1
349,1,1,8.9,0,6.797,0.76,360,3.1
350,1,2,9.1,0,6.639,0.76,360,3.1
351,1,3,8.6,0,6.5375,0.77,360,3.1
352,1,4,8.2,0,6.4845,0.77,360,3.1
353,1,5,7.5,0,6.297,0.8,360,3.1
