t,species,metamer,organ,Eabs
654,Caphorn,1,blade,0.011908449
654,Caphorn,1,sheath,0.004855355
654,Caphorn,2,blade,0.017198719
654,Caphorn,2,sheath,0.002165976
654,Caphorn,3,blade,0.048405249
654,Caphorn,3,sheath,0.00612734
654,Caphorn,4,blade,0.151492197
654,Caphorn,4,internode,0.011737101
654,Caphorn,4,sheath,0.03116017
654,Caphorn,5,internode,0.039086207
654,Caphorn,6,internode,0.14268521
655,Caphorn,1,blade,0.011908449
655,Caphorn,1,sheath,0.004855355
655,Caphorn,2,blade,0.017198719
655,Caphorn,2,sheath,0.002165976
655,Caphorn,3,blade,0.048405249
655,Caphorn,3,sheath,0.00612734
655,Caphorn,4,blade,0.151492197
655,Caphorn,4,internode,0.011737101
655,Caphorn,4,sheath,0.03116017
655,Caphorn,5,internode,0.039086207
655,Caphorn,6,internode,0.14268521
656,Caphorn,1,blade,0.011908449
656,Caphorn,1,sheath,0.004855355
656,Caphorn,2,blade,0.017198719
656,Caphorn,2,sheath,0.002165976
656,Caphorn,3,blade,0.048405249
656,Caphorn,3,sheath,0.00612734
656,Caphorn,4,blade,0.151492197
656,Caphorn,4,internode,0.011737101
656,Caphorn,4,sheath,0.03116017
656,Caphorn,5,internode,0.039086207
656,Caphorn,6,internode,0.14268521
657,Caphorn,1,blade,0.011908449
657,Caphorn,1,sheath,0.004855355
657,Caphorn,2,blade,0.017198719
657,Caphorn,2,sheath,0.002165976
657,Caphorn,3,blade,0.048405249
657,Caphorn,3,sheath,0.00612734
657,Caphorn,4,blade,0.151492197
657,Caphorn,4,internode,0.011737101
657,Caphorn,4,sheath,0.03116017
657,Caphorn,5,internode,0.039086207
657,Caphorn,6,internode,0.14268521
658,Caphorn,1,blade,0.011908449
658,Caphorn,1,sheath,0.004855355
658,Caphorn,2,blade,0.017198719
658,Caphorn,2,sheath,0.002165976
658,Caphorn,3,blade,0.048405249
658,Caphorn,3,sheath,0.00612734
658,Caphorn,4,blade,0.151492197
658,Caphorn,4,internode,0.011737101
658,Caphorn,4,sheath,0.03116017
658,Caphorn,5,internode,0.039086207
658,Caphorn,6,internode,0.14268521
659,Caphorn,1,blade,0.011908449
659,Caphorn,1,sheath,0.004855355
659,Caphorn,2,blade,0.017198719
659,Caphorn,2,sheath,0.002165976
659,Caphorn,3,blade,0.048405249
659,Caphorn,3,sheath,0.00612734
659,Caphorn,4,blade,0.151492197
659,Caphorn,4,internode,0.011737101
659,Caphorn,4,sheath,0.03116017
659,Caphorn,5,internode,0.039086207
659,Caphorn,6,internode,0.14268521
660,Caphorn,1,blade,0.011908449
660,Caphorn,1,sheath,0.004855355
660,Caphorn,2,blade,0.017198719
660,Caphorn,2,sheath,0.002165976
660,Caphorn,3,blade,0.048405249
660,Caphorn,3,sheath,0.00612734
660,Caphorn,4,blade,0.151492197
660,Caphorn,4,internode,0.011737101
660,Caphorn,4,sheath,0.03116017
660,Caphorn,5,internode,0.039086207
660,Caphorn,6,internode,0.14268521
661,Caphorn,1,blade,0.011908449
661,Caphorn,1,sheath,0.004855355
661,Caphorn,2,blade,0.017198719
661,Caphorn,2,sheath,0.002165976
661,Caphorn,3,blade,0.048405249
661,Caphorn,3,sheath,0.00612734
661,Caphorn,4,blade,0.151492197
661,Caphorn,4,internode,0.011737101
661,Caphorn,4,sheath,0.03116017
661,Caphorn,5,internode,0.039086207
661,Caphorn,6,internode,0.14268521
662,Caphorn,1,blade,0.011908449
662,Caphorn,1,sheath,0.004855355
662,Caphorn,2,blade,0.017198719
662,Caphorn,2,sheath,0.002165976
662,Caphorn,3,blade,0.048405249
662,Caphorn,3,sheath,0.00612734
662,Caphorn,4,blade,0.151492197
662,Caphorn,4,internode,0.011737101
662,Caphorn,4,sheath,0.03116017
662,Caphorn,5,internode,0.039086207
662,Caphorn,6,internode,0.14268521
663,Caphorn,1,blade,0.011908449
663,Caphorn,1,sheath,0.004855355
663,Caphorn,2,blade,0.017198719
663,Caphorn,2,sheath,0.002165976
663,Caphorn,3,blade,0.048405249
663,Caphorn,3,sheath,0.00612734
663,Caphorn,4,blade,0.151492197
663,Caphorn,4,internode,0.011737101
663,Caphorn,4,sheath,0.03116017
663,Caphorn,5,internode,0.039086207
663,Caphorn,6,internode,0.14268521
664,Caphorn,1,blade,0.011908449
664,Caphorn,1,sheath,0.004855355
664,Caphorn,2,blade,0.017198719
664,Caphorn,2,sheath,0.002165976
664,Caphorn,3,blade,0.048405249
664,Caphorn,3,sheath,0.00612734
664,Caphorn,4,blade,0.151492197
664,Caphorn,4,internode,0.011737101
664,Caphorn,4,sheath,0.03116017
664,Caphorn,5,internode,0.039086207
664,Caphorn,6,internode,0.14268521
665,Caphorn,1,blade,0.011908449
665,Caphorn,1,sheath,0.004855355
665,Caphorn,2,blade,0.017198719
665,Caphorn,2,sheath,0.002165976
665,Caphorn,3,blade,0.048405249
665,Caphorn,3,sheath,0.00612734
665,Caphorn,4,blade,0.151492197
665,Caphorn,4,internode,0.011737101
665,Caphorn,4,sheath,0.03116017
665,Caphorn,5,internode,0.039086207
665,Caphorn,6,internode,0.14268521
666,Caphorn,1,blade,0.011908449
666,Caphorn,1,sheath,0.004855355
666,Caphorn,2,blade,0.017198719
666,Caphorn,2,sheath,0.002165976
666,Caphorn,3,blade,0.048405249
666,Caphorn,3,sheath,0.00612734
666,Caphorn,4,blade,0.151492197
666,Caphorn,4,internode,0.011737101
666,Caphorn,4,sheath,0.03116017
666,Caphorn,5,internode,0.039086207
666,Caphorn,6,internode,0.14268521
667,Caphorn,1,blade,0.011908449
667,Caphorn,1,sheath,0.004855355
667,Caphorn,2,blade,0.017198719
667,Caphorn,2,sheath,0.002165976
667,Caphorn,3,blade,0.048405249
667,Caphorn,3,sheath,0.00612734
