"t","hour","air_temperature","PARi","soil_temperature","DOY","humidity","ambient_CO2","Wind"
335,11,6.35388591855609,258.00528933568,4.80808416702759,361,0.75,360,2.2
336,12,6.7029780519258,303.703518706158,4.9468716687264,361,0.75,360,2.2
337,13,7.08357578880261,317.804660159935,5.30470722124119,361,0.75,360,2.2
338,14,7.19248116007424,262.764142971157,5.55653757339975,361,0.75,360,2.2
339,15,7.04084657656586,163.821051070847,5.72644603388561,361,0.75,360,2.2
340,16,6.56347367415701,47.8038274038721,5.7484214800081,361,0.75,360,2.2
341,17,6.12849372890653,0,5.58122225772332,361,0.75,360,2.2
342,18,5.8603492622961,0,5.42657019106201,361,0.75,360,2.2
343,19,5.73367908302116,3.46536358062727,5.35480960554812,361,0.75,360,2.2
344,20,5.63912746418869,0.0859735694836327,5.2486773262208,361,0.75,360,2.2
345,21,5.65453452998977,0,5.1716435351452,361,0.75,360,2.2
346,22,5.53844888285384,0,5.1175740332596,361,0.75,360,2.2
347,23,5.48541875520512,0,5.09441076749127,361,0.75,360,2.2
348,24,5.45538319248566,0,5.09255158431218,361,0.75,360,2.2
349,1,5.31190824558336,0,5.07492518777387,1,0.75,360,2.2
350,2,5.24220318542151,0,5.06183032585757,1,0.75,360,2.2
351,3,5.16437554850797,0,5.0179839994003,1,0.75,360,2.2
352,4,5.14767032251982,0,5.00999602774157,1,0.75,360,2.2
353,5,5.05720062141315,1.40480469238149,5.01503018533835,1,0.75,360,2.2
354,6,4.96528367668908,4.40851830354348,5.0409429663115,1,0.75,360,2.2
355,7,4.88840004435451,0.226741600116428,4.98697570704218,1,0.75,360,2.2
356,8,4.71428376181701,0,4.84617907169899,1,0.75,360,2.2
357,9,5.04446455488578,64.7602276195903,4.63036344939063,1,0.75,360,2.2
358,10,5.6791247586239,168.747170011917,4.56822121926921,1,0.75,360,2.2
359,11,6.3231944128132,258.25697815211,4.72624283268927,1,0.75,360,2.2
360,12,6.67408607542217,302.892775399976,4.85784900671659,1,0.75,360,2.2
361,13,7.05733742681064,319.546881575274,5.2242268771021,1,0.75,360,2.2
362,14,7.16816872316645,265.113458208715,5.48377536540724,1,0.75,360,2.2
363,15,7.01669488416544,165.841291637037,5.6595145603532,1,0.75,360,2.2
364,16,6.53404585853228,48.9373762496819,5.69835304340475,1,0.75,360,2.2
365,17,6.08463253014486,0,5.53550714296047,1,0.75,360,2.2
366,18,5.8216385218541,0,5.38821046017134,1,0.75,360,2.2
367,19,5.70117100420558,4.01773280704623,5.33378199584494,1,0.75,360,2.2
368,20,5.6029625246292,0.146799309551238,5.23755257720577,1,0.75,360,2.2
